Year,BirthMProj,BirthFProj,BirthMExp,BirthFExp,DeathMProj,DeathFProj,DeathMExp,DeathFExp,MigMProj,MigFProj,MigMExp,MigFExp
37,436.054194239,418.533267587,440.514,419.537,475.88176133,456.156364549,385.563,388.541,174.075984739,141.347480521,87.108,77.892
38,434.468128671,417.105823957,439.977,419.026,455.068614425,436.553248488,391.136,396.571,174.329861402,140.719351877,87.108,77.892
39,439.640576336,422.171355558,440.722,419.735,469.444563519,450.035907207,392.603,399.079,174.583738065,140.091223232,87.108,77.892
40,437.755143553,420.459267953,442.719,421.638,475.785872523,455.960028421,392.665,399.092,174.837614728,139.463094588,87.108,77.892
41,435.947373597,418.820662666,442.719,421.638,481.483434484,461.276989168,392.665,399.092,175.091491391,138.834965943,87.108,77.892
42,434.21770769,417.256211914,442.719,421.638,486.546640869,465.959356725,392.665,399.092,175.345368054,138.206837299,87.108,77.892
43,432.58728729,415.786436032,442.719,421.638,464.20331723,444.440796172,392.665,399.092,175.599244717,137.578708654,87.108,77.892
44,437.300932337,420.415188059,448.558,427.197,477.008284212,456.236891729,392.368,396.648,175.85312138,136.95058001,87.108,77.892
45,435.665544398,418.940704107,448.558,427.197,482.127516931,460.67338208,392.368,396.648,176.106998043,136.322451365,87.108,77.892
46,434.224249082,417.652782123,448.558,427.197,486.603256,464.358449079,392.368,396.648,176.360874706,135.694322721,87.108,77.892
47,432.993910795,416.567823691,448.558,427.197,490.521552778,467.354174923,392.368,396.648,176.614751369,135.066194076,87.108,77.892
48,431.973211175,415.684784854,448.558,427.197,488.449347985,464.443721094,392.368,396.648,176.868628032,134.438065432,87.108,77.892
49,432.34855408,416.145702333,456.387,434.655,472.165129486,448.216205664,394.055,393.627,177.122504695,133.809936788,87.108,77.892
50,440.885567805,424.465230691,456.387,434.655,486.919339879,460.774209112,394.055,393.627,177.376381358,133.181808143,87.108,77.892
51,441.957022693,425.599140404,456.387,434.655,492.854571532,464.922995897,394.055,393.627,177.630258021,132.553679499,87.108,77.892
52,443.217534256,426.915906908,456.387,434.655,498.381644165,468.526924471,394.055,393.627,177.884134684,131.925550854,87.108,77.892
53,444.628413705,428.378069463,456.387,434.655,475.966491561,446.267452052,394.055,393.627,178.138011348,131.29742221,87.108,77.892
54,445.910798152,429.717048388,462.356,440.339,483.204148578,451.255397427,399.245,393.282,178.391888011,130.669293565,87.108,77.892
55,447.355060709,431.212466443,462.356,440.339,490.24574552,456.022652587,399.245,393.282,178.645764674,130.041164921,87.108,77.892
56,448.902412298,432.807178359,462.356,440.339,497.109330409,460.614810648,399.245,393.282,178.899641337,129.413036276,87.108,77.892
57,450.541994318,434.490859591,462.356,440.339,503.780923157,465.026938974,399.245,393.282,179.153518,128.784907632,87.108,77.892
58,452.225320925,436.221649993,462.356,440.339,482.799334798,445.06106487,399.245,393.282,179.407394663,128.156778987,87.108,77.892
59,453.673267577,437.725676684,465.313,443.156,490.995560188,450.739147038,405.909,395.136,179.661271326,127.528650343,87.108,77.892
60,455.148660272,439.255739599,465.313,443.156,498.932532506,456.215562141,405.909,395.136,179.915147989,126.900521698,87.108,77.892
61,456.613303427,440.774813314,465.313,443.156,506.592195209,461.465254404,405.909,395.136,180.169024652,126.272393054,87.108,77.892
62,458.024547568,442.241389825,465.313,443.156,513.956525926,466.462524004,405.909,395.136,180.422901315,125.644264409,87.108,77.892
63,459.36740407,443.640901424,465.313,443.156,492.066353886,445.440513325,405.909,395.136,180.676777978,125.016135765,87.108,77.892
64,460.346163819,444.687557175,466.31,444.104,500.771690048,451.534416385,409.46,396.276,180.930654641,124.38800712,87.108,77.892
65,461.258587468,445.668828064,467.433,445.173,509.090497319,457.298470692,412.058,396.542,181.184531304,123.759878476,87.108,77.892
66,462.106401872,446.586277574,467.433,445.173,517.022850263,462.723509436,412.058,396.542,181.438407967,123.131749831,87.108,77.892
67,462.870081172,447.420741655,467.433,445.173,524.579026021,467.820028523,412.058,396.542,181.69228463,122.503621187,87.108,77.892
68,463.566671441,448.189010591,467.433,445.173,502.883195559,447.004475726,412.058,396.542,181.946161293,121.875492543,87.108,77.892
69,463.922688187,448.626805884,467.433,445.173,511.229626243,452.746728903,412.058,396.542,182.200037957,121.247363898,87.108,77.892
70,464.255484872,449.041296396,467.433,450.443,519.065731018,458.057886115,412.058,396.637,182.45391462,120.619235254,87.108,77.892
71,464.586623318,449.451991749,470.5022125,448.3586722,526.386867862,462.914133082,434.9427873,424.8381278,182.707791283,119.991106609,86.80280355,77.71544502
72,464.928626823,449.866603157,471.298394,449.1213655,533.221453665,467.354541088,436.8229926,426.5029265,182.961667946,119.362977965,86.79000566,77.70797056
73,465.297538576,450.3074749,472.0945754,449.8840587,533.472134339,466.299738881,438.7031979,428.1677252,183.215544609,118.73484932,86.77720776,77.70049609
74,465.650189264,450.73176789,472.8907568,450.646752,512.097695707,446.898907684,440.5834032,429.8325239,183.469421272,118.106720676,86.76440987,77.69302162
