Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,
East Midlands,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,
50-54,277.6,277.6,277.6,277.6,277.6,282.2,289.818182935,297.529266165,305.31576737,313.175846755,321.093520498,324.077656032,327.116346155,330.208503958,333.318468392,336.445580668,329.04726202,321.728662434,314.424553538,307.141188478,299.874542521,288.876530287,277.884956156,266.953412598,256.102651836,245.357373732,250.897261228,256.472401484,262.060230742,267.65618284,273.252743887,280.066972015,286.891989859,293.727115176,300.585773512,307.317805311,303.891706139,300.479320283,297.071204182,293.679840896,290.251749731,283.504066529,276.758981984,270.019182627,263.272528354,256.602088206,252.908323614,249.200726646,245.471618895,241.725600341,238.069234987,242.179722679,246.291217603,250.405212423,254.528361126,258.56765495,267.57416204,276.381441608,284.981291561,293.827598299,302.876001488,303.601636025,305.339969128,307.636089769,310.036671886,312.433419741,314.482098884,315.74117305,316.427112126,316.87964332,317.225814199,317.110103139,316.991925146,316.974259063,316.831405657,316.479551007,316.349942517,316.443828264,316.647194209,316.963324952,313.399781921,
55-59,273.9,273.9,273.9,273.9,273.9,269.9,270.856519016,272.018731504,273.336922044,274.797217642,276.361940557,284.102419955,291.928633732,299.804890727,307.729717418,315.686023767,318.816657588,321.981447515,325.186642066,328.407947279,331.631684955,324.465026955,317.375267316,310.310186966,303.267958473,296.233105152,285.457005528,274.677121015,263.942821821,253.285425115,242.848271659,248.479055881,254.112750795,259.753438232,265.415623652,271.025536388,277.859862241,284.710925209,291.567617106,298.446432525,305.195222432,301.865812263,298.549740862,295.24907031,291.95108702,288.614384466,281.964152797,275.316249346,268.663704604,262.013774008,255.438093965,251.807382487,248.157197448,244.484603764,240.797910793,237.199240278,241.330522044,245.467958202,249.60578541,253.743865121,257.796943086,266.806733279,275.62173819,284.22756986,293.077345764,302.126597999,302.884999991,304.654100306,306.97836405,309.405571734,311.827895151,313.902028779,315.189724027,315.904471509,316.385341632,316.759152677,316.671476796,316.581832672,316.591176012,316.477595072,316.154180613,
60-64,282.0,282.0,282.0,282.0,282.0,285.8,280.177596656,275.001837642,270.107417837,265.591933405,261.390528764,262.759226302,264.266477927,265.866505231,267.540436866,269.289613464,277.094398537,284.957530673,292.872661394,300.81837212,308.782821187,312.055325598,315.373151481,318.733534266,322.093479715,325.461040168,318.600847798,311.780746738,304.969365647,298.174894364,291.556440204,281.154232624,270.746117131,260.333765213,249.941309042,239.760787803,245.417504951,251.085084957,256.752396109,262.43900023,268.067046051,274.931168187,281.808504548,288.704652326,295.599375893,302.358179831,299.145023391,295.945300999,292.744986084,289.564261809,286.342285845,279.810877407,273.273047664,266.730423481,260.197756014,253.73802953,250.178784261,246.60938267,243.01485531,239.394201486,235.860330438,240.008760998,244.169511868,248.327641204,252.483000528,256.550981854,265.563614818,274.382896775,282.98991689,291.83665077,300.878678305,301.672466987,303.47507473,305.829244249,308.284189076,310.732661248,312.832798943,314.151167368,314.896583522,315.411717352,315.818347493,
65-69,208.0,208.0,208.0,208.0,208.0,217.0,227.643431302,238.415805129,249.378784429,260.351845088,271.32715457,266.731643735,262.485383703,258.438380296,254.65815163,251.086861952,252.791973473,254.562583763,256.393195448,258.280161427,260.220286619,268.046987618,275.959234268,283.918601987,291.895238988,299.901528543,303.378296916,306.844082004,310.318434438,313.768430664,317.378196988,311.013888492,304.664412169,298.325196501,292.043360853,285.757776612,275.687560693,265.633967396,255.570858528,245.527995031,235.688096781,241.388657359,247.096089546,252.821574627,258.536998511,264.188237447,271.085409038,277.991732598,284.888887004,291.804028522,298.578076686,295.520432934,292.460863233,289.399195058,286.366774161,283.290286686,276.912412769,270.54405232,264.166722525,257.779039871,251.462766337,247.992054356,244.521953179,241.024073377,237.497576249,234.054713084,238.231331078,242.42107457,246.605020933,250.783103567,254.871494158,263.886917141,272.710181647,281.318058727,290.161262859,299.195444455,300.035702848,301.881524597,304.274679456,306.772697837,309.261876045,
70-74,176.0,176.0,176.0,176.0,176.0,180.3,183.671250104,187.526584931,191.723775398,196.171082637,200.761654883,211.620524627,222.49043443,233.445665914,244.319819192,255.144009086,251.399945403,247.935571475,244.638123262,241.549779984,238.614564,240.6203121,242.698257172,244.81266282,246.965795672,249.166191139,257.063182902,264.969275962,272.886031871,280.782241438,288.899576068,292.735400993,296.565264066,300.386186309,304.252354084,308.00979452,302.066258902,296.171568749,290.276094413,284.437513382,278.586967141,268.948032992,259.325355077,249.723413124,240.10193799,230.676167909,236.425884995,242.179021912,247.915375999,253.665208925,259.34253851,266.278649255,273.198847146,280.102072007,287.032571496,293.813826118,290.945473309,288.101278909,285.248228108,282.390023226,279.486678369,273.291826073,267.125544075,260.946141049,254.753525788,248.629538922,245.279501619,241.932931102,238.554974698,235.145433925,231.816270747,236.028033986,240.254273363,244.470629927,248.677079562,252.790641639,261.809509489,270.638362394,279.247819768,288.095930719,297.128532543,
75-79,145.3,145.3,145.3,145.3,145.3,145.5,146.676668749,148.738608514,151.460257562,154.693322212,158.219495823,162.841467291,167.611424483,172.435135359,177.271444808,182.059022627,192.809420739,203.455459879,214.109988735,224.63250138,235.034173237,232.150110393,229.559240989,227.124658262,224.870381662,222.738669292,225.150287572,227.48822164,229.830664362,232.157124822,234.874137632,243.056878905,251.205150662,259.315989697,267.464116424,275.512901507,279.577035228,283.68190762,287.753994316,291.866665733,295.849037971,290.475460911,285.154768671,279.890318879,274.61615218,269.322759048,260.221421604,251.144155978,242.047576509,232.984353479,224.110732462,229.925267137,235.706309822,241.458238667,247.239231733,252.93364697,259.912613826,266.905333902,273.86393477,280.789542449,287.553608324,284.91814012,282.343356392,279.753507247,277.153669637,274.505399759,268.56656472,262.667461567,256.751391859,250.820054474,244.955173948,241.761847285,238.579392149,235.361181661,232.107957469,228.931249362,233.190431073,237.467280588,241.727449394,245.983609816,250.140353814,
80-84,106.6,106.6,106.6,106.6,106.6,108.0,107.930514184,108.731010454,110.180060046,112.145513982,114.489226506,117.681550657,121.29473978,125.197116051,129.252673939,133.329999632,138.640689466,143.858558518,148.958048473,153.909069086,158.674486533,169.023353778,179.242016875,189.415533167,199.409122829,209.271133588,207.452971407,205.748893014,204.128416476,202.628501125,201.741719619,204.907510116,207.951795478,210.895757255,213.87027362,216.852975945,225.027686914,233.220614184,241.3330393,249.465456994,257.461469981,261.867806593,266.310123091,270.794342119,275.200215946,279.451251251,274.81142916,270.237518595,265.6433792,261.127535199,256.58315512,248.205478711,239.809830313,231.404530327,223.094342052,214.96754446,220.853177676,226.745163427,232.582820177,238.36425673,244.043581867,251.04693185,258.102926644,265.102246977,272.045943593,278.80969084,276.525418307,274.322931651,272.098382004,269.858098077,267.565071305,261.977718804,256.44839176,250.898414842,245.33114627,239.827205196,236.848886875,233.893209446,230.896518406,227.88017431,224.931986539,
85-89,66.7,66.7,66.7,66.7,66.7,68.3,67.9839344039,68.4439850738,69.2905877993,70.3308408782,71.4164657907,73.5153532166,75.8863532722,78.4725621197,81.2186303186,84.0880133432,88.1525139363,92.4018896443,96.7388399159,101.059910956,105.233310302,110.738714769,116.077386803,121.214690443,126.090484301,130.757383987,140.498746661,149.886416329,159.075125235,167.993911721,177.328478069,177.003959331,176.748392769,176.543769879,176.509697335,176.478630892,179.956339753,183.429016767,186.777428543,190.151249639,193.496140801,201.655774518,209.822812247,217.999896365,226.03671403,233.896621323,238.668808824,243.479282517,248.195377642,252.940904271,257.504159111,253.801422026,250.077835449,246.339032123,242.777836647,239.181477746,231.743935388,224.391490358,217.013982893,209.626406326,202.427962557,208.341619554,214.31724311,220.211908207,226.022988176,231.70911295,238.762482094,245.878900715,252.911326919,259.860101712,266.605426125,264.792030976,263.087073133,261.350929281,259.592525915,257.777808624,252.665048884,247.633498186,242.575456346,237.532306703,232.543800632,
90+,29.7,29.7,29.7,29.7,29.7,30.7,34.8839496252,37.2285643725,38.4145801723,38.8615495921,38.8332502919,42.6579080486,45.6614501173,48.0460540161,49.9562683371,51.5098987268,56.15558767,60.435654202,64.4762433388,68.3472387174,72.0490296196,78.7758935293,85.4527871857,92.0659758045,98.5684442399,104.959439266,114.658306567,123.769506368,132.463759429,140.75283289,150.441850332,166.880547147,182.615857545,197.693323021,212.55399106,226.861719151,238.901472726,251.163599449,263.143279794,275.271332613,287.178287336,300.360694139,313.824977506,327.551148253,341.14831293,354.68554951,373.700569276,393.030864392,412.168816797,431.569266577,450.819709738,472.290744059,493.572297733,514.678056537,536.635600554,558.396575654,574.78856432,591.95126227,609.119405743,626.319155132,643.508905937,652.378377941,662.629435434,673.097530774,683.807842423,694.89083247,710.547907696,727.331815515,744.330851498,761.538769308,779.017197491,802.072701266,826.139003953,850.320780349,874.604851748,898.932201541,920.49188135,943.449494115,966.529971087,990.305295549,1014.12313708,
Total,4429.9,4429.9,4429.9,4429.9,4429.9,4463.7,4479.77232412,4497.95935948,4517.7551784,4539.36583343,4562.25144787,4586.77631818,4612.93622191,4640.02200576,4667.76257427,4695.89503157,4724.41071238,4753.16245021,4781.86686435,4810.66464407,4839.31193292,4867.29523571,4895.58222169,4923.87722725,4952.00112202,4979.87368235,5006.92182906,5033.39120206,5059.42163754,5085.06178113,5110.39826307,5135.60978834,5160.87097612,5186.36180867,5213.13761359,5240.38339189,5268.23197228,5297.6998388,5327.88581182,5359.66217166,5392.12030114,5425.21849941,5459.7531522,5495.64803112,5531.95202032,5568.60951173,5605.52547541,5643.4738779,5681.50616944,5720.36938405,5759.17671832,5797.9128707,5836.61545107,5875.3353705,5915.6120483,5955.98968734,5996.58687806,6038.57363629,6080.94072205,6123.81050852,6167.29860233,6211.56950383,6258.34915743,6306.13862787,6355.0977205,6405.37803711,6457.09890556,6511.66941236,6567.85905372,6625.7465631,6685.38615489,6746.79213009,6811.19001684,6877.32528723,6945.18131179,7014.72985603,7085.95232613,7160.35046485,7236.3297332,7314.54102925,7394.30209847,
