Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106
East Midlands,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons
Births,na,na,na,na,na,na,53.5,53.3,53.1,53.3,53.5,54,54.7,55,55.3,55.5,55.7,55.7,55.5,55.6,55.7,55.5,55.5,55.4,55.4,55.3,55.3,55.5,55.5,55.6,55.61501443,55.93750633,55.96782301,56.44111757,57.14984323,57.27217851,57.40943517,57.54516453,58.30250152,58.96022867,59.01462218,59.04447989,59.04985429,59.62893735,60.08953256,60.01316901,59.92720058,59.8341466,60.2986548,60.65643048,60.50677037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deaths,na,na,na,na,na,na,53.25543468,52.78314063,52.72042761,52.71881629,52.73153797,52.42921757,52.45454068,52.16554134,52.78557276,53.29349217,53.79015482,53.90639126,54.09321436,54.83813176,55.97421568,56.8467278,56.43992902,56.27270636,56.87959276,57.66138746,58.86981266,60.26782741,60.69914563,61.93694789,61.54059729,63.48068999,64.87100395,66.58017562,66.79908981,67.81755017,68.70468022,67.9064326,69.48550588,69.24695295,70.04923933,70.78917476,69.91202781,69.66982586,71.1437346,72.00170938,72.81126399,71.89085877,73.43743879,73.02874859,73.87247152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migration,na,na,na,na,na,na,37.65543468,36.27722494,36.02692625,35.21903911,35.43138069,35.32920575,33.6562711,37.16714354,36.08921596,36.90803877,34.38901855,37.40637469,37.50365328,36.93984894,39.37180011,38.34825095,35.9518365,36.86590247,39.68289061,37.56718398,34.16936595,39.47274482,34.70054729,34.33350531,36.99209035,37.0299149,37.06773945,37.10556399,37.14338854,37.18121309,37.21903763,37.25686218,37.29468673,37.33251128,37.37033582,37.40816037,37.44598492,37.48380947,37.52163401,37.55945856,37.59728311,37.63510766,37.6729322,37.71075675,37.7485813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4,337,337,337,337,337,343.9,348.8196603,353.0766749,354.9984165,353.7999958,353.2997114,353.4939424,354.2989459,355.5889633,357.6534295,358.8109662,360.2096084,361.1755551,361.6083856,361.922729,361.40176,360.6700445,360.2344343,359.4950526,359.1873875,358.910549,358.3945089,357.9996127,358.0188702,358.4037755,358.7530055,357.1941138,358.6878727,362.1209306,362.449265,362.8719043,363.5255858,368.1868579,372.5121794,373.2321027,373.892736,374.4428698,378.6503227,382.0719637,382.0324916,381.8684673,381.5988367,384.8917705,387.5132855,386.9155158,386.2898469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Sep,309.8,309.8,309.8,309.8,309.8,311,314.7177382,320.9826406,328.5988294,338.8999885,345.2996115,350.4937224,354.6890819,356.5857805,355.7482195,355.0948217,355.4927589,356.2642954,357.787261,359.4037357,360.9034333,362.6709084,363.8283352,364.3061134,364.298227,363.8066368,363.1928352,362.9103647,362.0144826,361.1035655,361.7430555,360.2465777,361.5565093,364.5090114,363.9808937,362.4451095,361.3604884,364.6537934,368.1484103,368.7740172,369.4755317,370.3962797,375.1984114,379.489931,380.5279258,381.5035757,382.3647667,386.7417065,390.3893961,390.6975296,390.8642696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-14,334.8,334.8,334.8,334.8,334.8,330.7,326.4183977,319.8829041,313.6985153,310.7996268,311.1993452,315.3940991,321.5942812,329.4871046,339.4506876,346.0954695,351.192864,355.1545755,356.8839626,356.0979422,355.8875287,356.2548682,357.1162142,358.3849879,360.2793972,362.008285,363.2938774,364.3040645,364.725659,364.9145332,367.0096499,366.0093452,366.8120064,368.0345426,364.4159799,363.0418222,361.9166257,364.9356473,367.8013685,367.3956599,366.0049327,365.0972776,368.4574853,371.7725929,372.5292032,373.4105775,374.5598504,379.4686714,383.8318927,385.0193494,386.1895783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-19,365.1,365.1,365.1,365.1,365.1,360.7,353.019897,345.6813746,340.5987744,336.4999857,332.5996517,328.294169,321.4941426,315.4871461,312.5538404,313.2943983,317.4926789,323.5626005,331.7856003,341.4985505,348.2881596,353.6549715,357.9064365,359.9818068,358.7739112,358.0922963,358.3773537,359.2922501,361.3043805,362.9955882,365.7531441,365.7158375,367.8010397,370.7024196,369.097565,369.1049732,368.4313459,370.9210165,372.0150593,368.4869936,367.2189163,366.2212846,369.251561,371.8998851,371.5960481,370.3436953,369.6110404,373.019119,376.3656389,377.2433963,378.278866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-24,367.9,367.9,367.9,367.9,367.9,372.8,376.5212216,380.6788609,381.4985576,377.9000154,373.8997284,368.3936685,360.3935952,355.6861339,352.1489376,347.7957405,343.1938128,337.6621469,331.4858342,329.3987997,330.7878054,334.057606,340.6116842,348.9831593,359.0747689,365.4933335,371.6770127,374.8827418,377.1019649,375.790212,377.0017565,375.9699622,377.844223,381.3465788,381.1153826,381.6651095,381.8342502,385.6157998,388.4026606,386.8116532,386.8203671,386.1409505,388.6091811,389.4841725,385.9935675,384.7662281,383.8121182,386.8468329,389.5275558,389.2921801,388.0996079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-29,340.5,340.5,340.5,340.5,340.5,349.9,358.2201901,365.9799221,375.098674,382.7999971,388.1995705,391.892988,395.3922702,396.5846314,392.9431606,388.9954359,383.6931373,376.8576047,371.7848981,368.099449,364.1885063,359.7557197,354.3123513,348.883726,346.6760452,347.6928606,351.2788115,357.6885193,365.4027674,375.3908517,376.8139734,376.6552786,380.124622,386.0989614,389.2142472,388.0209906,387.0662483,390.4662032,393.6759488,393.3804263,393.8212188,393.8439528,397.3668045,399.7520948,398.1299625,398.0751489,397.299163,399.5215978,400.2550819,396.7732413,395.5053648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34,307.8,307.8,307.8,307.8,307.8,306.2,311.7175691,320.9825854,331.1987884,343.4999958,353.1996589,361.3936313,368.9929567,377.9852931,385.64404,391.0950277,394.2920915,397.5536807,398.5829497,396.0984555,392.0876279,386.9520744,380.3125871,375.2824266,372.0743765,368.0934966,363.5785504,358.8887803,353.2028147,350.7920484,355.4519969,359.0821166,366.6472836,377.1724702,385.4539722,385.0832872,385.596835,391.1677389,397.4367602,401.0994099,400.3970293,399.8820262,403.6085697,407.0245616,407.3066649,408.2742741,408.7766612,412.6537786,415.5176249,414.5104074,415.0017436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-39,382.2,382.2,382.2,382.2,382.2,367.6,353.019897,335.6822837,320.4982939,310.6993819,309.2990798,314.893819,324.0944157,333.8869329,345.5498116,355.0952982,363.6927454,371.057015,379.5837854,388.3984453,393.2869656,396.7497742,400.0120595,401.4804604,398.571676,395.1928623,389.3763759,383.0872794,378.7028632,374.5911612,375.8608874,373.0371333,371.0489645,368.3255395,359.4686278,362.3318743,366.4948531,376.0422528,386.6883479,395.18737,395.1261935,396.0210833,401.9618823,408.2593932,412.1540901,411.7903665,411.7120599,415.8639364,419.565851,420.0962546,421.4088119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-44,406,406,406,406,406,405.6,402.9227097,398.9779746,391.5985683,380.6000617,367.1997827,352.0939996,335.6940817,321.0866167,311.853451,310.693701,315.9922112,324.2626188,334.3855189,345.4987047,355.7880098,363.4540907,371.9113864,380.4814234,387.8723317,393.4923889,396.8749315,400.38568,401.5021156,399.5895094,397.885474,392.3829444,388.3415698,384.1943489,374.4139655,373.2236981,370.4301502,369.8246404,366.6225938,357.5380027,360.1791175,364.1641746,373.3654458,383.3882635,391.6043012,391.3689938,392.154674,397.7879776,403.7069832,407.3690679,406.8499119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-49,374.7,374.7,374.7,374.7,374.7,382.9,391.7220784,396.7782327,399.6985222,400.9999646,401.1995617,397.6929245,393.4921388,386.3849813,377.1454315,362.7951512,348.5934602,332.5625578,317.9851132,308.8975362,306.8870247,312.5591631,320.8103219,331.2835017,342.5754554,352.3928253,360.6772821,368.6867443,377.4018669,385.4896561,386.1060566,384.7953308,386.835627,391.0248909,391.9387579,387.6304616,382.1510104,379.420689,374.7318359,364.8548331,363.4665724,360.4539192,359.3223439,355.5012225,346.3192341,348.7860164,352.5676042,361.2143182,370.7633402,378.8219923,378.4504937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50-54,332.2,332.2,332.2,332.2,332.2,335.9,342.4192996,351.7808116,360.7986781,368.5999626,376.7995765,385.1931311,390.7924183,393.8846564,395.2426772,394.5951797,391.4922027,387.5545518,381.283565,370.9982217,358.0881596,344.0569966,328.0099419,313.9836231,304.9771064,303.2915607,309.279824,317.7884524,327.6013942,338.2909535,343.2889415,347.8576766,356.8208499,369.3307963,380.3657029,378.7847593,377.7908171,381.4307177,385.4229586,386.5921972,382.4687224,377.1146708,374.2160309,369.3598806,359.8683894,358.6813524,355.8059207,354.5052491,350.7094723,341.9090542,344.5805382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
