Ages,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
20,408.066,408.066,408.066,408.066,408.066,406.728,407.066,413.743,410.791,398.032,392.163,383.795,382.179,384.63,376.243,369.668,359.159,353.359,352.274,359.84,372.521,378.849,387.263,398.536,414.953,413.061,428.002,435.447,442.73,449.07,449.07,449.07,463.39,463.39,463.39,463.39,463.39,476.489,476.489,476.489,476.489,476.489,476.366,476.366,476.366,476.366,476.366,477.593,477.593,477.593,477.593,477.593,493.248,493.248,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699,503.699
21,405.745,405.745,405.745,405.745,405.745,417.472,417.176,417.405,423.965,420.9,408.03,402.042,393.679,392.066,394.519,386.136,379.563,369.057,363.263,362.179,369.745,382.426,388.755,397.169,408.442,424.859,422.968,437.909,445.355,452.638,452.638,452.638,468.917,468.917,468.917,468.917,468.917,485.173,485.173,485.173,485.173,485.173,486.727,486.727,486.727,486.727,486.727,486.366,486.366,486.366,486.366,486.366,498.692,498.692,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187,508.187
22,416.451,416.451,416.451,416.451,416.451,416.677,429.679,429.247,429.341,435.759,432.558,419.548,413.564,405.205,403.594,406.05,397.67,391.1,380.598,374.807,373.725,381.291,393.972,400.303,408.717,419.99,436.406,434.517,449.457,456.904,456.904,456.904,475.77,475.77,475.77,475.77,475.77,494.818,494.818,494.818,494.818,494.818,498.647,498.647,498.647,498.647,498.647,497.34,497.34,497.34,497.34,497.34,506.421,506.421,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732,514.732
23,421.701,421.701,421.701,421.701,421.701,428.153,429.868,442.71,442.124,442.058,448.32,444.956,431.951,425.971,417.616,416.007,418.465,410.089,403.523,393.024,387.235,386.156,393.722,406.403,412.735,421.149,432.422,448.838,446.95,461.889,461.889,461.889,482.958,482.958,482.958,482.958,482.958,504.619,504.619,504.619,504.619,504.619,511.229,511.229,511.229,511.229,511.229,509.665,509.665,509.665,509.665,509.665,515.719,515.719,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7,522.7
24,411.356,411.356,411.356,411.356,411.356,432.505,440.535,442.09,454.769,454.021,453.795,459.887,456.527,443.527,437.551,429.2,427.594,430.054,421.682,415.119,404.623,398.836,397.76,405.326,418.007,424.34,432.754,444.027,460.442,458.555,458.555,458.555,488.222,488.222,488.222,488.222,488.222,512.866,512.866,512.866,512.866,512.866,522.642,522.642,522.642,522.642,522.642,521.486,521.486,521.486,521.486,521.486,524.899,524.899,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486,530.486
25,399.454,399.454,399.454,399.454,399.454,420.112,442.811,450.688,452.093,464.615,463.718,463.329,469.424,466.068,453.073,447.101,438.754,437.15,439.613,431.245,424.685,414.191,408.408,407.334,414.901,427.582,433.916,442.33,453.603,470.017,470.017,470.017,490.514,490.514,490.514,490.514,490.514,518.467,518.467,518.467,518.467,518.467,531.587,531.587,531.587,531.587,531.587,531.479,531.479,531.479,531.479,531.479,532.724,532.724,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929,536.929
26,400.595,400.595,400.595,400.595,400.595,406.404,428.458,451.018,458.763,460.035,472.425,471.385,471,477.097,473.744,460.756,454.788,446.445,444.843,447.309,438.944,432.386,421.897,416.117,415.044,422.611,435.292,441.626,450.041,461.313,461.313,461.313,490.779,490.779,490.779,490.779,490.779,521.797,521.797,521.797,521.797,521.797,538.071,538.071,538.071,538.071,538.071,539.644,539.644,539.644,539.644,539.644,539.304,539.304,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219,542.219
27,408.896,408.896,408.896,408.896,408.896,405.889,412.872,434.812,457.259,464.892,466.056,478.326,477.29,476.908,483.007,479.658,466.676,460.712,452.374,450.774,453.243,444.882,438.326,427.841,422.064,420.993,428.56,441.241,447.575,455.991,455.991,455.991,481.792,481.792,481.792,481.792,481.792,523.049,523.049,523.049,523.049,523.049,542.117,542.117,542.117,542.117,542.117,545.967,545.967,545.967,545.967,545.967,544.681,544.681,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422,546.422
28,407.75,407.75,407.75,407.75,407.75,412.67,410.654,417.547,439.395,461.746,469.288,470.355,482.626,481.595,481.216,487.317,483.971,470.995,465.035,456.701,455.103,457.575,449.219,442.666,432.185,426.411,425.342,432.909,445.59,451.924,451.924,451.924,488.022,488.022,488.022,488.022,488.022,522.151,522.151,522.151,522.151,522.151,543.831,543.831,543.831,543.831,543.831,550.466,550.466,550.466,550.466,550.466,548.93,548.93,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644,549.644
29,391.276,391.276,391.276,391.276,391.276,410.503,416.319,414.226,421.041,442.805,465.073,472.527,473.598,485.868,484.84,484.466,490.568,487.226,474.256,468.3,459.969,458.376,460.849,452.497,445.947,435.471,429.701,428.635,436.202,448.882,448.882,448.882,474.904,474.904,474.904,474.904,474.904,519.102,519.102,519.102,519.102,519.102,543.764,543.764,543.764,543.764,543.764,553.566,553.566,553.566,553.566,553.566,552.44,552.44,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366,552.366
