Ages,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
20,430.653,430.653,430.653,430.653,430.653,424.596,426.872,434.544,426.484,412.398,405.748,397.474,394.454,396.884,386.078,380.413,371.183,361.664,361.363,372.126,383.811,388.846,396.466,409.107,424.666,421.695,399.286,389.868,381.918,376.322,376.322,376.322,373.668,373.668,373.668,373.668,373.668,376.456,376.456,376.456,376.456,376.456,371.404,371.404,371.404,371.404,371.404,365.289,365.289,365.289,365.289,365.289,362.795,362.795,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091,363.091
21,429.384,429.384,429.384,429.384,429.384,438.3,431.992,434.173,441.742,433.588,419.409,412.65,404.386,401.373,403.809,393.012,387.354,378.132,368.62,368.321,379.082,390.765,395.8,403.418,416.055,431.609,428.639,406.24,396.825,388.878,388.878,388.878,378.784,378.784,378.784,378.784,378.784,383.798,383.798,383.798,383.798,383.798,379.505,379.505,379.505,379.505,379.505,373.448,373.448,373.448,373.448,373.448,369.742,369.742,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905,369.905
22,430.208,430.208,430.208,430.208,430.208,437.439,446.028,439.609,441.674,449.124,440.856,426.549,419.801,411.548,408.542,410.981,400.194,394.541,385.326,375.82,375.524,386.283,397.962,402.996,410.613,423.247,438.795,435.826,413.436,404.025,404.025,404.025,386.677,386.677,386.677,386.677,386.677,390.951,390.951,390.951,390.951,390.951,387.842,387.842,387.842,387.842,387.842,381.928,381.928,381.928,381.928,381.928,377.151,377.151,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975,376.975
23,442.331,442.331,442.331,442.331,442.331,439.058,445.884,454.329,447.776,449.703,457.008,448.586,434.294,427.556,419.314,416.314,418.757,407.978,402.331,393.121,383.622,383.328,394.085,405.76,410.794,418.409,431.039,446.58,443.612,421.23,421.23,421.23,398.294,398.294,398.294,398.294,398.294,398.209,398.209,398.209,398.209,398.209,396.734,396.734,396.734,396.734,396.734,391.012,391.012,391.012,391.012,391.012,385.456,385.456,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763,384.763
24,434.433,434.433,434.433,434.433,434.433,451.074,447.348,454.023,462.309,455.611,457.385,464.514,456.106,441.828,435.101,426.867,423.874,426.32,415.548,409.908,400.704,391.211,390.918,401.673,413.345,418.376,425.989,438.616,454.151,451.184,451.184,451.184,411.471,411.471,411.471,411.471,411.471,404.74,404.74,404.74,404.74,404.74,405.289,405.289,405.289,405.289,405.289,399.82,399.82,399.82,399.82,399.82,393.841,393.841,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558,392.558
25,424.116,424.116,424.116,424.116,424.116,442.209,458.417,454.549,461.07,469.202,462.361,463.965,471.099,462.703,448.438,441.721,433.495,430.507,432.957,422.194,416.558,407.36,397.873,397.581,408.333,420,425.03,432.64,445.263,460.791,460.791,460.791,426.066,426.066,426.066,426.066,426.066,409.896,409.896,409.896,409.896,409.896,412.679,412.679,412.679,412.679,412.679,407.636,407.636,407.636,407.636,407.636,401.538,401.538,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72,399.72
26,409.076,409.076,409.076,409.076,409.076,430.611,448.342,464.406,460.402,466.784,474.774,467.781,469.395,476.533,468.147,453.896,447.188,438.969,435.986,438.438,427.684,422.052,412.86,403.378,403.088,413.836,425.498,430.527,438.134,450.751,450.751,450.751,440.954,440.954,440.954,440.954,440.954,413.554,413.554,413.554,413.554,413.554,418.559,418.559,418.559,418.559,418.559,414.274,414.274,414.274,414.274,414.274,408.235,408.235,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016,406.016
27,419.95,419.95,419.95,419.95,419.95,414.207,435.412,453.013,468.949,464.826,471.085,478.931,471.951,473.572,480.714,472.338,458.1,451.399,443.189,440.21,442.664,431.917,426.289,417.103,407.626,407.338,418.083,429.738,434.765,442.369,442.369,442.369,467.535,467.535,467.535,467.535,467.535,418.487,418.487,418.487,418.487,418.487,422.752,422.752,422.752,422.752,422.752,419.648,419.648,419.648,419.648,419.648,413.751,413.751,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295,411.295
28,417.947,417.947,417.947,417.947,417.947,423.922,417.906,438.998,456.484,472.307,468.083,474.218,482.069,475.101,476.726,483.871,475.505,461.278,454.585,446.381,443.406,445.862,435.122,429.497,420.317,410.846,410.558,421.299,432.949,437.975,437.975,437.975,473.689,473.689,473.689,473.689,473.689,425.505,425.505,425.505,425.505,425.505,425.42,425.42,425.42,425.42,425.42,423.95,423.95,423.95,423.95,423.95,418.239,418.239,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703,415.703
29,396.876,396.876,396.876,396.876,396.876,420.525,426.242,420.141,441.13,458.515,474.237,469.906,476.047,483.901,476.944,478.573,485.719,477.362,463.147,456.461,448.264,445.293,447.749,437.017,431.396,422.222,412.756,412.469,423.205,434.849,434.849,434.849,460.068,460.068,460.068,460.068,460.068,432.986,432.986,432.986,432.986,432.986,426.267,426.267,426.267,426.267,426.267,426.815,426.815,426.815,426.815,426.815,421.36,421.36,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879,418.879
30,376.733,376.733,376.733,376.733,376.733,398.444,421.836,427.469,421.296,442.19,459.481,475.096,470.777,476.921,484.775,477.831,479.464,486.608,478.261,464.058,457.38,449.19,446.222,448.678,437.953,432.337,423.168,413.709,413.424,424.152,424.152,424.152,448.402,448.402,448.402,448.402,448.402,441.843,441.843,441.843,441.843,441.843,425.712,425.712,425.712,425.712,425.712,428.489,428.489,428.489,428.489,428.489,423.461,423.461,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097,421.097
31,371.852,371.852,371.852,371.852,371.852,377.467,398.949,422.251,427.811,421.576,442.383,459.579,475.187,470.88,477.025,484.878,477.945,479.58,486.722,478.385,464.195,457.524,449.342,446.377,448.832,438.116,432.504,423.342,413.89,413.605,413.605,413.605,440.973,440.973,440.973,440.973,440.973,451.373,451.373,451.373,451.373,451.373,424.046,424.046,424.046,424.046,424.046,429.036,429.036,429.036,429.036,429.036,424.765,424.765,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487,422.487
32,381.323,381.323,381.323,381.323,381.323,371.659,377.097,398.501,421.724,427.223,420.939,441.66,458.846,474.443,470.144,476.288,484.139,477.214,478.851,485.989,477.66,463.485,456.821,448.647,445.686,448.139,437.433,431.826,422.672,413.228,413.228,413.228,435.275,435.275,435.275,435.275,435.275,472.956,472.956,472.956,472.956,472.956,424.061,424.061,424.061,424.061,424.061,428.315,428.315,428.315,428.315,428.315,425.222,425.222,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971,422.971
