Ages,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083
20,430.653,430.653,430.653,430.653,430.653,425.379,429.163,437.993,430.727,417.139,410.838,402.837,400.065,402.755,392.206,386.782,377.813,368.607,368.646,379.758,391.787,397.146,405.084,418.073,434.065,432.016,447.722,455.529,463.162,469.82,469.82,469.82,484.854,484.854,484.854,484.854,484.854,498.659,498.659,498.659,498.659,498.659,498.615,498.615,498.615,498.615,498.615,499.99,499.99,499.99,499.99,499.99,516.476,516.476,527.467,527.467,527.467,527.467,527.467,527.467,527.467,527.467,527.467,527.467,527.467,527.467,527.467,527.467,527.467,527.467,527.467,527.467,527.467,527.467,527.467,527.467,527.467,527.467,527.467,527.467
21,429.384,429.384,429.384,429.384,429.384,439.233,434.739,438.43,447.165,439.813,426.135,419.729,411.741,408.977,411.673,401.134,395.718,386.757,377.559,377.602,388.713,400.742,406.103,414.042,427.029,443.02,440.974,456.679,464.486,472.12,472.12,472.12,489.21,489.21,489.21,489.21,489.21,506.326,506.326,506.326,506.326,506.326,508.051,508.051,508.051,508.051,508.051,507.767,507.767,507.767,507.767,507.767,520.766,520.766,530.749,530.749,530.749,530.749,530.749,530.749,530.749,530.749,530.749,530.749,530.749,530.749,530.749,530.749,530.749,530.749,530.749,530.749,530.749,530.749,530.749,530.749,530.749,530.749,530.749,530.749
22,430.208,430.208,430.208,430.208,430.208,438.599,449.37,444.771,448.352,456.971,449.511,435.709,429.316,421.339,418.583,421.284,410.755,405.346,396.393,387.202,387.25,398.361,410.39,415.752,423.691,436.678,452.667,450.624,466.327,474.135,474.135,474.135,493.927,493.927,493.927,493.927,493.927,513.968,513.968,513.968,513.968,513.968,518.075,518.075,518.075,518.075,518.075,516.814,516.814,516.814,516.814,516.814,526.418,526.418,535.161,535.161,535.161,535.161,535.161,535.161,535.161,535.161,535.161,535.161,535.161,535.161,535.161,535.161,535.161,535.161,535.161,535.161,535.161,535.161,535.161,535.161,535.161,535.161,535.161,535.161
23,442.331,442.331,442.331,442.331,442.331,440.486,449.99,460.624,455.895,459.342,467.823,460.213,446.426,440.044,432.078,429.33,432.035,421.517,416.114,407.169,397.985,398.038,409.149,421.178,426.541,434.481,447.466,463.454,461.415,477.115,477.115,477.115,499.218,499.218,499.218,499.218,499.218,521.988,521.988,521.988,521.988,521.988,529.013,529.013,529.013,529.013,529.013,527.489,527.489,527.489,527.489,527.489,533.934,533.934,541.281,541.281,541.281,541.281,541.281,541.281,541.281,541.281,541.281,541.281,541.281,541.281,541.281,541.281,541.281,541.281,541.281,541.281,541.281,541.281,541.281,541.281,541.281,541.281,541.281,541.281
24,434.433,434.433,434.433,434.433,434.433,452.688,452.084,461.44,471.923,467.051,470.351,478.661,471.065,457.293,450.921,442.968,440.227,442.936,432.427,427.032,418.094,408.917,408.975,420.085,432.114,437.478,445.418,458.402,474.389,472.354,472.354,472.354,503.496,503.496,503.496,503.496,503.496,529.386,529.386,529.386,529.386,529.386,539.743,539.743,539.743,539.743,539.743,538.65,538.65,538.65,538.65,538.65,542.327,542.327,548.224,548.224,548.224,548.224,548.224,548.224,548.224,548.224,548.224,548.224,548.224,548.224,548.224,548.224,548.224,548.224,548.224,548.224,548.224,548.224,548.224,548.224,548.224,548.224,548.224,548.224
25,424.116,424.116,424.116,424.116,424.116,443.839,463.357,462.613,471.818,482.152,477.138,480.273,488.588,481.007,467.249,460.888,452.945,450.211,452.925,442.426,437.038,428.107,418.937,418.998,430.108,442.136,447.502,455.442,468.425,484.41,484.41,484.41,505.884,505.884,505.884,505.884,505.884,535.241,535.241,535.241,535.241,535.241,549.09,549.09,549.09,549.09,549.09,549.097,549.097,549.097,549.097,549.097,550.522,550.522,554.976,554.976,554.976,554.976,554.976,554.976,554.976,554.976,554.976,554.976,554.976,554.976,554.976,554.976,554.976,554.976,554.976,554.976,554.976,554.976,554.976,554.976,554.976,554.976,554.976,554.976
26,409.076,409.076,409.076,409.076,409.076,432.132,453.072,472.448,471.57,480.639,490.833,485.671,488.815,497.136,489.568,475.823,469.473,461.539,458.812,461.531,451.04,445.658,436.734,427.573,427.636,438.745,450.773,456.14,464.081,477.062,477.062,477.062,506.713,506.713,506.713,506.713,506.713,539.269,539.269,539.269,539.269,539.269,556.429,556.429,556.429,556.429,556.429,558.209,558.209,558.209,558.209,558.209,557.977,557.977,561.069,561.069,561.069,561.069,561.069,561.069,561.069,561.069,561.069,561.069,561.069,561.069,561.069,561.069,561.069,561.069,561.069,561.069,561.069,561.069,561.069,561.069,561.069,561.069,561.069,561.069
27,419.95,419.95,419.95,419.95,419.95,415.597,439.753,460.568,479.815,478.82,487.768,497.819,492.671,495.824,504.15,496.594,482.863,476.522,468.596,465.878,468.6,458.117,452.743,443.826,434.672,434.738,445.846,457.874,463.242,471.184,471.184,471.184,498.122,498.122,498.122,498.122,498.122,541.431,541.431,541.431,541.431,541.431,561.518,561.518,561.518,561.518,561.518,565.681,565.681,565.681,565.681,565.681,564.474,564.474,566.343,566.343,566.343,566.343,566.343,566.343,566.343,566.343,566.343,566.343,566.343,566.343,566.343,566.343,566.343,566.343,566.343,566.343,566.343,566.343,566.343,566.343,566.343,566.343,566.343,566.343
28,417.947,417.947,417.947,417.947,417.947,425.171,421.814,445.855,466.556,485.691,484.596,493.419,503.477,498.342,501.502,509.832,502.287,488.569,482.236,474.322,471.61,474.335,463.861,458.492,449.584,440.436,440.505,451.613,463.64,469.009,469.009,469.009,505.911,505.911,505.911,505.911,505.911,541.697,541.697,541.697,541.697,541.697,564.507,564.507,564.507,564.507,564.507,571.588,571.588,571.588,571.588,571.588,570.125,570.125,570.924,570.924,570.924,570.924,570.924,570.924,570.924,570.924,570.924,570.924,570.924,570.924,570.924,570.924,570.924,570.924,570.924,570.924,570.924,570.924,570.924,570.924,570.924,570.924,570.924,570.924
29,396.876,396.876,396.876,396.876,396.876,421.685,429.817,426.374,450.309,470.908,489.943,488.741,497.569,507.632,502.511,505.677,514.011,506.476,492.772,486.447,478.543,475.837,478.568,468.102,462.739,453.837,444.697,444.77,455.877,467.905,467.905,467.905,494.196,494.196,494.196,494.196,494.196,539.299,539.299,539.299,539.299,539.299,565.228,565.228,565.228,565.228,565.228,575.635,575.635,575.635,575.635,575.635,574.61,574.61,574.585,574.585,574.585,574.585,574.585,574.585,574.585,574.585,574.585,574.585,574.585,574.585,574.585,574.585,574.585,574.585,574.585,574.585,574.585,574.585,574.585,574.585,574.585,574.585,574.585,574.585
