Ages,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083
82,117.087,117.087,117.087,117.087,117.087,119.019,119.591,124.697,129.821,134.764,136.981,138.391,141.048,149.494,155.704,161.551,166.861,170.074,170.71,164.85,176.331,195.361,204.455,208.535,214.478,266.232,254.421,237.988,230.895,225.609,225.609,225.609,233.275,233.275,233.275,233.275,233.275,267.939,267.939,267.939,267.939,267.939,313.347,313.347,313.347,313.347,313.347,318.619,318.619,318.619,318.619,318.619,290.286,290.286,282.747,282.747,282.747,282.747,282.747,282.747,282.747,282.747,282.747,282.747,282.747,282.747,282.747,282.747,282.747,282.747,282.747,282.747,282.747,282.747,282.747,282.747,282.747,282.747,282.747,282.747
83,104.061,104.061,104.061,104.061,104.061,107.399,109.8,110.643,115.71,120.839,125.834,128.301,130.012,132.876,141.193,147.394,153.234,158.538,161.827,162.635,157.225,168.346,186.696,195.569,199.66,205.533,255.354,244.237,228.641,222.004,222.004,222.004,220.415,220.415,220.415,220.415,220.415,254.172,254.172,254.172,254.172,254.172,296.154,296.154,296.154,296.154,296.154,311.489,311.489,311.489,311.489,311.489,293.049,293.049,280.254,280.254,280.254,280.254,280.254,280.254,280.254,280.254,280.254,280.254,280.254,280.254,280.254,280.254,280.254,280.254,280.254,280.254,280.254,280.254,280.254,280.254,280.254,280.254,280.254,280.254
84,91.883,91.883,91.883,91.883,91.883,94.66,98.304,100.794,101.872,106.869,111.97,116.982,119.663,121.637,124.675,132.83,138.994,144.8,150.075,153.423,154.39,149.428,160.168,177.813,186.45,190.54,196.331,244.149,233.734,218.995,218.995,218.995,208.267,208.267,208.267,208.267,208.267,234.1,234.1,234.1,234.1,234.1,277.109,277.109,277.109,277.109,277.109,307.05,307.05,307.05,307.05,307.05,295.079,295.079,276.084,276.084,276.084,276.084,276.084,276.084,276.084,276.084,276.084,276.084,276.084,276.084,276.084,276.084,276.084,276.084,276.084,276.084,276.084,276.084,276.084,276.084,276.084,276.084,276.084,276.084
85,80.73,80.73,80.73,80.73,80.73,82.855,85.952,89.529,92.076,93.352,98.248,103.289,108.282,111.137,113.339,116.516,124.479,130.572,136.318,141.541,144.927,146.041,141.522,151.863,168.78,177.165,181.244,186.939,232.694,222.986,222.986,222.986,199.246,199.246,199.246,199.246,199.246,215.267,215.267,215.267,215.267,215.267,259.456,259.456,259.456,259.456,259.456,292.558,292.558,292.558,292.558,292.558,292.4,292.4,277.39,277.39,277.39,277.39,277.39,277.39,277.39,277.39,277.39,277.39,277.39,277.39,277.39,277.39,277.39,277.39,277.39,277.39,277.39,277.39,277.39,277.39,277.39,277.39,277.39,277.39
86,73.174,73.174,73.174,73.174,73.174,72.072,74.542,77.587,81.072,83.644,85.085,89.85,94.799,99.738,102.726,105.118,108.401,116.138,122.131,127.787,132.935,136.34,137.585,133.502,143.428,159.59,167.706,171.762,177.348,220.977,220.977,220.977,193.753,193.753,193.753,193.753,193.753,199.319,199.319,199.319,199.319,199.319,237.759,237.759,237.759,237.759,237.759,280.779,280.779,280.779,280.779,280.779,279.233,279.233,277.868,277.868,277.868,277.868,277.868,277.868,277.868,277.868,277.868,277.868,277.868,277.868,277.868,277.868,277.868,277.868,277.868,277.868,277.868,277.868,277.868,277.868,277.868,277.868,277.868,277.868
87,66.358,66.358,66.358,66.358,66.358,64.527,64.134,66.585,69.549,72.916,75.483,77.054,81.662,86.484,91.334,94.419,96.962,100.315,107.793,113.654,119.193,124.241,127.643,129.004,125.351,134.842,150.223,158.055,162.077,167.538,167.538,167.538,188.608,188.608,188.608,188.608,188.608,189.024,189.024,189.024,189.024,189.024,221.545,221.545,221.545,221.545,221.545,263.902,263.902,263.902,263.902,263.902,272.828,272.828,273.693,273.693,273.693,273.693,273.693,273.693,273.693,273.693,273.693,273.693,273.693,273.693,273.693,273.693,273.693,273.693,273.693,273.693,273.693,273.693,273.693,273.693,273.693,273.693,273.693,273.693
88,53.879,53.879,53.879,53.879,53.879,57.634,56.627,56.551,58.946,61.803,65.026,67.561,69.224,73.649,78.312,83.038,86.181,88.835,92.222,99.408,105.105,110.499,115.421,118.8,120.26,117.025,126.064,140.64,148.169,152.143,152.143,152.143,189.108,189.108,189.108,189.108,189.108,174.859,174.859,174.859,174.859,174.859,206.177,206.177,206.177,206.177,206.177,245.133,245.133,245.133,245.133,245.133,262.584,262.584,259.52,259.52,259.52,259.52,259.52,259.52,259.52,259.52,259.52,259.52,259.52,259.52,259.52,259.52,259.52,259.52,259.52,259.52,259.52,259.52,259.52,259.52,259.52,259.52,259.52,259.52
89,39.117,39.117,39.117,39.117,39.117,45.884,49.678,49.086,49.267,51.574,54.295,57.348,59.82,61.542,65.753,70.223,74.786,77.946,80.673,84.057,90.915,96.414,101.63,106.398,109.731,111.273,108.452,117.011,130.745,137.948,137.948,137.948,183.888,183.888,183.888,183.888,183.888,161.16,161.16,161.16,161.16,161.16,185.65,185.65,185.65,185.65,185.65,224.725,224.725,224.725,224.725,224.725,254.116,254.116,251.335,251.335,251.335,251.335,251.335,251.335,251.335,251.335,251.335,251.335,251.335,251.335,251.335,251.335,251.335,251.335,251.335,251.335,251.335,251.335,251.335,251.335,251.335,251.335,251.335,251.335
90-94,89.155,89.155,89.155,89.155,89.155,96.108,108.514,122.552,134.306,144.361,152.922,160.599,168.795,178.404,188.362,200.15,213.722,228.925,244.585,260.558,276.345,294.944,314.762,335.985,358.185,379.572,396.816,406.927,421.174,444.332,444.332,444.332,528.399,528.399,528.399,528.399,528.399,671.051,671.051,671.051,671.051,671.051,685.352,685.352,685.352,685.352,685.352,835.495,835.495,835.495,835.495,835.495,1009.91,1009.91,1054.637,1054.637,1054.637,1054.637,1054.637,1054.637,1054.637,1054.637,1054.637,1054.637,1054.637,1054.637,1054.637,1054.637,1054.637,1054.637,1054.637,1054.637,1054.637,1054.637,1054.637,1054.637,1054.637,1054.637,1054.637,1054.637
95-99,17.812,17.812,17.812,17.812,17.812,19.193,20.76,22.04,23.05,24.263,27.545,32.595,38.269,43.076,47.351,51.542,55.843,60.599,65.936,71.511,78.235,86.165,95.268,104.893,114.88,125.16,137.288,150.292,164.05,178.233,178.233,178.233,211.06,211.06,211.06,211.06,211.06,293.108,293.108,293.108,293.108,293.108,389.374,389.374,389.374,389.374,389.374,421.047,421.047,421.047,421.047,421.047,538.159,538.159,594.028,594.028,594.028,594.028,594.028,594.028,594.028,594.028,594.028,594.028,594.028,594.028,594.028,594.028,594.028,594.028,594.028,594.028,594.028,594.028,594.028,594.028,594.028,594.028,594.028,594.028
100 & over,1.388,1.388,1.388,1.388,1.388,1.577,1.796,2.021,2.275,2.553,2.842,3.152,3.436,3.713,4.073,4.897,6.126,7.521,8.752,9.928,11.256,12.785,14.558,16.538,18.685,21.357,24.623,28.514,32.818,37.465,37.465,37.465,55.53,55.53,55.53,55.53,55.53,91.905,91.905,91.905,91.905,91.905,145.075,145.075,145.075,145.075,145.075,214.704,214.704,214.704,214.704,214.704,269.964,269.964,305.123,305.123,305.123,305.123,305.123,305.123,305.123,305.123,305.123,305.123,305.123,305.123,305.123,305.123,305.123,305.123,305.123,305.123,305.123,305.123,305.123,305.123,305.123,305.123,305.123,305.123
