Ages,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
20,430.653,430.653,430.653,430.653,430.653,424.987,428.018,436.269,428.604,414.767,408.295,400.156,397.26,399.82,389.143,383.597,374.5,365.136,365,375.939,387.795,392.994,400.776,413.59,429.372,426.856,423.487,422.448,422.07,422.524,422.524,422.524,428.599,428.599,428.599,428.599,428.599,435.82,435.82,435.82,435.82,435.82,432.93,432.93,432.93,432.93,432.93,430.327,430.327,430.327,430.327,430.327,436.649,436.649,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762,441.762
21,429.384,429.384,429.384,429.384,429.384,438.767,433.366,436.302,444.454,436.699,422.77,416.192,408.064,405.177,407.742,397.074,391.536,382.446,373.09,372.957,383.895,395.75,400.95,408.732,421.544,437.321,434.809,431.443,430.406,430.029,430.029,430.029,433.698,433.698,433.698,433.698,433.698,443.461,443.461,443.461,443.461,443.461,441.718,441.718,441.718,441.718,441.718,438.38,438.38,438.38,438.38,438.38,442.463,442.463,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101,447.101
22,430.208,430.208,430.208,430.208,430.208,438.019,447.7,442.191,445.014,453.048,445.182,431.128,424.562,416.444,413.564,416.134,405.475,399.944,390.862,381.512,381.382,392.319,404.173,409.373,417.155,429.965,445.739,443.229,439.865,438.831,438.831,438.831,440.01,440.01,440.01,440.01,440.01,451.034,451.034,451.034,451.034,451.034,450.954,450.954,450.954,450.954,450.954,447.21,447.21,447.21,447.21,447.21,449.133,449.133,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085,453.085
23,442.331,442.331,442.331,442.331,442.331,439.771,447.937,457.477,451.836,454.524,462.415,454.398,440.359,433.804,425.696,422.823,425.397,414.747,409.223,400.149,390.805,390.679,401.615,413.466,418.667,426.448,439.256,455.026,452.519,449.158,449.158,449.158,448.207,448.207,448.207,448.207,448.207,458.876,458.876,458.876,458.876,458.876,460.937,460.937,460.937,460.937,460.937,457.127,457.127,457.127,457.127,457.127,457.171,457.171,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237,460.237
24,434.433,434.433,434.433,434.433,434.433,451.882,449.715,457.733,467.115,461.331,463.869,471.587,463.584,449.561,443.015,434.917,432.05,434.629,423.988,418.47,409.405,400.067,399.944,410.878,422.728,427.928,435.708,448.514,464.28,461.776,461.776,461.776,457.015,457.015,457.015,457.015,457.015,466.104,466.104,466.104,466.104,466.104,470.672,470.672,470.672,470.672,470.672,467.134,467.134,467.134,467.134,467.134,465.677,465.677,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745,467.745
25,424.116,424.116,424.116,424.116,424.116,443.022,460.887,458.581,466.445,475.677,469.749,472.12,479.843,471.853,457.844,451.308,443.219,440.36,442.942,432.309,426.797,417.74,408.408,408.287,419.219,431.068,436.268,444.047,456.851,472.613,472.613,472.613,465.725,465.725,465.725,465.725,465.725,471.899,471.899,471.899,471.899,471.899,479.148,479.148,479.148,479.148,479.148,476.294,476.294,476.294,476.294,476.294,473.728,473.728,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828,474.828
26,409.076,409.076,409.076,409.076,409.076,431.372,450.705,468.427,465.986,473.711,482.805,476.725,479.105,486.832,478.855,464.86,458.333,450.253,447.4,449.985,439.36,433.855,424.805,415.479,415.359,426.289,438.137,443.337,451.115,463.916,463.916,463.916,473.821,473.821,473.821,473.821,473.821,476.109,476.109,476.109,476.109,476.109,485.895,485.895,485.895,485.895,485.895,484.188,484.188,484.188,484.188,484.188,480.89,480.89,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142,481.142
27,419.95,419.95,419.95,419.95,419.95,414.902,437.583,456.79,474.383,471.822,479.427,488.376,482.31,484.699,492.43,484.464,470.48,463.964,455.893,453.045,455.633,445.015,439.516,430.472,421.152,421.035,431.963,443.809,449.009,456.785,456.785,456.785,482.843,482.843,482.843,482.843,482.843,479.664,479.664,479.664,479.664,479.664,490.713,490.713,490.713,490.713,490.713,490.668,490.668,490.668,490.668,490.668,486.965,486.965,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523,486.523
28,417.947,417.947,417.947,417.947,417.947,424.547,419.86,442.426,461.52,478.999,476.338,483.819,492.774,486.719,489.116,496.85,488.894,474.923,468.415,460.352,457.509,460.099,449.489,443.996,434.959,425.644,425.529,436.455,448.298,453.498,453.498,453.498,489.819,489.819,489.819,489.819,489.819,483.052,483.052,483.052,483.052,483.052,493.743,493.743,493.743,493.743,493.743,495.838,495.838,495.838,495.838,495.838,492.074,492.074,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105,491.105
29,396.876,396.876,396.876,396.876,396.876,421.105,428.03,423.257,445.718,464.711,482.089,479.321,486.809,495.767,489.724,492.128,499.864,491.918,477.959,471.459,463.404,460.567,463.159,452.557,447.069,438.04,428.731,428.617,439.541,451.38,451.38,451.38,477.147,477.147,477.147,477.147,477.147,485.673,485.673,485.673,485.673,485.673,494.792,494.792,494.792,494.792,494.792,499.391,499.391,499.391,499.391,499.391,495.894,495.894,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592,494.592
