Ages,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
20,408.066,408.066,408.066,408.066,408.066,405.777,404.376,409.79,406.007,392.732,386.51,377.801,375.87,378.035,369.396,362.604,351.886,345.885,344.599,351.953,364.376,370.402,378.459,389.327,405.287,402.524,381.104,372.12,364.529,359.204,359.204,359.204,356.699,356.699,356.699,356.699,356.699,359.396,359.396,359.396,359.396,359.396,354.612,354.612,354.612,354.612,354.612,348.787,348.787,348.787,348.787,348.787,346.403,346.403,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687,346.687
21,405.745,405.745,405.745,405.745,405.745,416.265,413.708,412.191,417.484,413.584,400.192,393.844,385.14,383.212,385.38,376.744,369.954,359.24,353.241,351.956,359.31,371.733,377.759,385.816,396.683,412.642,409.88,388.464,379.481,371.891,371.891,371.891,362.291,362.291,362.291,362.291,362.291,367.122,367.122,367.122,367.122,367.122,363.053,363.053,363.053,363.053,363.053,357.29,357.29,357.29,357.29,357.29,353.754,353.754,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905,353.905
22,416.451,416.451,416.451,416.451,416.451,415.187,425.381,422.682,421.023,426.17,422.126,408.589,402.246,393.546,391.62,393.79,385.158,378.37,367.658,361.663,360.38,367.734,380.156,386.182,394.239,405.105,421.063,418.302,396.888,387.907,387.907,387.907,371.365,371.365,371.365,371.365,371.365,375.489,375.489,375.489,375.489,375.489,372.559,372.559,372.559,372.559,372.559,366.932,366.932,366.932,366.932,366.932,362.373,362.373,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199,362.199
23,421.701,421.701,421.701,421.701,421.701,426.398,424.767,434.795,431.936,430.111,435.094,430.882,417.351,411.013,402.316,400.392,402.565,393.935,387.151,376.442,370.449,369.167,376.521,388.942,394.968,403.025,413.89,429.847,427.087,405.676,405.676,405.676,383.785,383.785,383.785,383.785,383.785,383.749,383.749,383.749,383.749,383.749,382.381,382.381,382.381,382.381,382.381,376.937,376.937,376.937,376.937,376.937,371.638,371.638,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976,370.976
24,411.356,411.356,411.356,411.356,411.356,430.621,434.939,433.146,443.006,439.979,437.993,442.801,438.593,425.067,418.733,410.039,408.118,410.292,401.666,394.884,384.178,378.187,376.906,384.26,396.681,402.706,410.763,421.627,437.583,434.823,434.823,434.823,396.85,396.85,396.85,396.85,396.85,390.47,390.47,390.47,390.47,390.47,391.036,391.036,391.036,391.036,391.036,385.841,385.841,385.841,385.841,385.841,380.135,380.135,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911,378.911
25,399.454,399.454,399.454,399.454,399.454,418.286,437.232,441.395,439.448,449.152,445.973,443.822,448.632,444.428,430.907,424.577,415.887,413.969,416.144,407.521,400.742,390.039,384.05,382.77,390.124,402.544,408.569,416.625,427.488,443.441,443.441,443.441,410.301,410.301,410.301,410.301,410.301,394.89,394.89,394.89,394.89,394.89,397.586,397.586,397.586,397.586,397.586,392.807,392.807,392.807,392.807,392.807,386.984,386.984,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249,385.249
26,400.595,400.595,400.595,400.595,400.595,404.802,423.394,442.201,446.229,444.147,453.718,450.395,448.246,453.059,448.858,435.343,429.016,420.331,418.415,420.591,411.971,405.194,394.495,388.508,387.229,394.582,407.001,413.025,421.08,431.942,431.942,431.942,423.734,423.734,423.734,423.734,423.734,397.579,397.579,397.579,397.579,397.579,402.406,402.406,402.406,402.406,402.406,398.343,398.343,398.343,398.343,398.343,392.582,392.582,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463,390.463
27,408.896,408.896,408.896,408.896,408.896,404.537,408.552,427.03,445.724,449.639,447.449,456.898,453.579,451.434,456.248,452.05,438.54,432.218,423.536,421.621,423.799,415.183,408.408,397.713,391.728,390.451,397.803,410.22,416.242,424.296,424.296,424.296,448.345,448.345,448.345,448.345,448.345,401.444,401.444,401.444,401.444,401.444,405.565,405.565,405.565,405.565,405.565,402.641,402.641,402.641,402.641,402.641,397.017,397.017,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667,394.667
28,407.75,407.75,407.75,407.75,407.75,411.523,407.009,410.935,429.322,447.919,451.743,449.458,458.907,455.591,453.45,458.265,454.07,440.566,434.248,425.57,423.656,425.835,417.222,410.45,399.758,393.777,392.5,399.851,412.266,418.286,418.286,418.286,453.139,453.139,453.139,453.139,453.139,407.119,407.119,407.119,407.119,407.119,407.082,407.082,407.082,407.082,407.082,405.716,405.716,405.716,405.716,405.716,400.276,400.276,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853,397.853
29,391.276,391.276,391.276,391.276,391.276,409.459,413.094,408.507,412.355,430.659,449.172,452.913,450.631,460.079,456.767,454.628,459.444,455.252,441.754,435.439,426.766,424.854,427.033,418.424,411.654,400.966,394.987,393.711,401.061,413.472,413.472,413.472,438.395,438.395,438.395,438.395,438.395,413.644,413.644,413.644,413.644,413.644,407.271,407.271,407.271,407.271,407.271,407.835,407.835,407.835,407.835,407.835,402.645,402.645,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275,400.275
30,374.336,374.336,374.336,374.336,374.336,392.621,410.665,414.23,409.571,413.343,431.568,449.996,453.739,451.46,460.907,457.6,455.464,460.279,456.09,442.598,436.287,427.618,425.707,427.887,419.282,412.514,401.83,395.854,394.578,401.927,401.927,401.927,428.397,428.397,428.397,428.397,428.397,422.082,422.082,422.082,422.082,422.082,406.692,406.692,406.692,406.692,406.692,409.382,409.382,409.382,409.382,409.382,404.609,404.609,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352,402.352
