Ages,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
20,408.066,408.066,408.066,408.066,408.066,406.253,405.721,411.765,408.401,395.383,389.337,380.798,379.022,381.329,372.82,366.137,355.522,349.622,348.437,355.895,368.45,374.623,382.857,393.933,410.118,407.79,404.539,403.542,403.183,403.625,409.423,409.423,409.423,416.298,416.298,416.298,416.298,416.298,413.508,413.508,413.508,413.508,413.508,410.984,410.984,410.984,410.984,410.984,416.979,416.979,416.979,416.979,416.979,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841,421.841
21,405.745,405.745,405.745,405.745,405.745,416.868,415.443,414.798,420.724,417.244,404.113,397.944,389.409,387.637,389.946,381.44,374.76,364.148,358.25,357.069,364.528,377.083,383.256,391.49,402.566,418.749,416.423,413.173,412.177,411.818,415.33,415.33,415.33,424.636,424.636,424.636,424.636,424.636,422.935,422.935,422.935,422.935,422.935,419.713,419.713,419.713,419.713,419.713,423.563,423.563,423.563,423.563,423.563,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972,427.972
22,416.451,416.451,416.451,416.451,416.451,415.932,427.529,425.965,425.182,430.964,427.344,414.07,407.905,399.375,397.605,399.916,391.414,384.736,374.129,368.234,367.054,374.513,387.068,393.241,401.475,412.551,428.733,426.408,423.159,422.164,423.3,423.3,423.3,433.808,433.808,433.808,433.808,433.808,433.694,433.694,433.694,433.694,433.694,430.08,430.08,430.08,430.08,430.08,431.867,431.867,431.867,431.867,431.867,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619,435.619
23,421.701,421.701,421.701,421.701,421.701,427.276,427.318,438.751,437.03,436.084,441.706,437.922,424.652,418.492,409.965,408.198,410.511,402.013,395.337,384.734,378.842,377.663,385.122,397.677,403.85,412.084,423.16,439.341,437.017,433.77,432.862,432.862,432.862,443.032,443.032,443.032,443.032,443.032,444.966,444.966,444.966,444.966,444.966,441.278,441.278,441.278,441.278,441.278,441.272,441.272,441.272,441.272,441.272,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18,444.18
24,411.356,411.356,411.356,411.356,411.356,431.563,437.738,437.618,448.886,446.999,445.894,451.343,447.563,434.298,428.142,419.619,417.854,420.17,411.674,405.002,394.401,388.512,387.335,394.794,407.348,413.523,421.757,432.831,449.01,446.688,442.092,442.092,442.092,450.76,450.76,450.76,450.76,450.76,455.088,455.088,455.088,455.088,455.088,451.664,451.664,451.664,451.664,451.664,450.22,450.22,450.22,450.22,450.22,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17,452.17
25,399.454,399.454,399.454,399.454,399.454,419.199,440.021,446.042,445.77,456.882,454.845,453.575,459.026,455.251,441.992,435.839,427.32,425.557,427.875,419.383,412.714,402.116,396.229,395.053,402.512,415.066,421.241,429.475,440.548,456.726,450.166,450.166,450.166,456.058,456.058,456.058,456.058,456.058,462.939,462.939,462.939,462.939,462.939,460.16,460.16,460.16,460.16,460.16,457.649,457.649,457.649,457.649,457.649,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685,458.685
26,400.595,400.595,400.595,400.595,400.595,405.603,425.925,446.609,452.497,452.091,463.07,460.889,459.622,465.075,461.303,448.05,441.902,433.388,431.627,433.946,425.458,418.791,408.196,402.311,401.138,408.597,421.151,427.326,435.559,446.632,457.245,457.245,457.245,459.414,459.414,459.414,459.414,459.414,468.726,468.726,468.726,468.726,468.726,467.037,467.037,467.037,467.037,467.037,463.83,463.83,463.83,463.83,463.83,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045,464.045
27,408.896,408.896,408.896,408.896,408.896,405.214,410.712,430.92,451.49,457.266,456.753,467.61,465.434,464.17,469.624,465.856,452.609,446.464,437.955,436.197,438.517,430.032,423.369,412.777,406.895,405.723,413.182,425.734,431.91,440.142,465.067,465.067,465.067,461.979,461.979,461.979,461.979,461.979,472.494,472.494,472.494,472.494,472.494,472.392,472.392,472.392,472.392,472.392,468.795,468.795,468.795,468.795,468.795,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341,468.341
28,407.75,407.75,407.75,407.75,407.75,412.096,408.832,414.242,434.357,454.83,460.517,459.907,470.765,468.592,467.332,472.786,469.022,455.781,449.64,441.135,439.378,441.701,433.219,426.559,415.972,410.092,408.922,416.38,428.931,435.107,470.579,470.579,470.579,464.125,464.125,464.125,464.125,464.125,474.303,474.303,474.303,474.303,474.303,476.25,476.25,476.25,476.25,476.25,472.582,472.582,472.582,472.582,472.582,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636,471.636
29,391.276,391.276,391.276,391.276,391.276,409.981,414.706,411.368,416.7,436.731,457.12,462.722,462.115,472.973,470.803,469.545,475.002,471.241,458.006,451.869,443.368,441.613,443.937,435.459,428.803,418.219,412.342,411.173,418.631,431.181,456.655,456.655,456.655,465.927,465.927,465.927,465.927,465.927,474.608,474.608,474.608,474.608,474.608,478.95,478.95,478.95,478.95,478.95,475.546,475.546,475.546,475.546,475.546,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269,474.269
30,374.336,374.336,374.336,374.336,374.336,393.13,412.199,416.849,413.439,418.695,438.648,458.949,464.552,463.949,474.807,472.64,471.384,476.842,473.084,459.856,453.723,445.226,443.473,445.799,437.325,430.672,420.092,414.218,413.051,420.508,447.459,447.459,447.459,468.153,468.153,468.153,468.153,468.153,474.062,474.062,474.062,474.062,474.062,480.956,480.956,480.956,480.956,480.956,478.202,478.202,478.202,478.202,478.202,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734,476.734
31,367.909,367.909,367.909,367.909,367.909,376.044,395.178,414.17,418.752,415.273,420.459,440.333,460.629,466.233,465.632,476.49,474.326,473.074,478.533,474.778,461.556,455.426,446.934,445.184,447.511,439.042,432.392,421.817,415.946,414.78,440.956,440.956,440.956,470.865,470.865,470.865,470.865,470.865,473.058,473.058,473.058,473.058,473.058,482.383,482.383,482.383,482.383,482.383,480.721,480.721,480.721,480.721,480.721,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177,479.177
32,378.388,378.388,378.388,378.388,378.388,369.389,377.825,396.892,415.817,420.336,416.797,421.919,441.789,462.08,467.685,467.087,477.944,475.784,474.534,479.993,476.242,463.028,456.902,448.414,446.666,448.994,440.531,433.884,423.314,417.446,436.28,436.28,436.28,475.592,475.592,475.592,475.592,475.592,472.537,472.537,472.537,472.537,472.537,483.065,483.065,483.065,483.065,483.065,482.99,482.99,482.99,482.99,482.99,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456,481.456
