CODE,AREA,COMPONENT,2004Est,2005Est,2006Est,2007Est,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
00EH,Darlington,Cross Border Migration Out,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00DA,Leeds,Population,400,400,400,400,400,400,404.4,408.6,412.5,416.2,419.8,423.4,427.1,430.7,434.3,437.8,441.3,444.8,448.4,452.1,455.9,459.8,463.8,467.8,471.7,475.4,479,482.4,485.8,489.1
00DA,Leeds,Natural Change,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.8,1.9,2.1,2.2,2.3,2.5,2.6,2.6,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.6
00DA,Leeds,Births,4.9,4.9,4.9,4.9,4.9,4.9,4.9,5,5,5.1,5.2,5.3,5.4,5.5,5.5,5.6,5.6,5.7,5.7,5.7,5.7,5.7,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
00DA,Leeds,Deaths,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.1,3.1,3.1,3,3,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9,2.9,3,3
00DA,Leeds,All Migration Net,2.9,2.9,2.9,2.9,2.9,2.9,2.7,2.4,2,1.7,1.4,1.3,1.2,1.1,1,0.8,0.7,0.7,0.8,0.9,1,1.1,1.1,1.2,1.2,1,0.9,0.8,0.7,0.7
00DA,Leeds,Internal Migration In,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.2,18.2,18.1,18.1,18.1,18,18,17.9,17.7,17.6,17.5,17.5,17.7,17.8,17.9,18.1,18.4,18.5,18.6,18.7,18.7,18.8,18.9
00DA,Leeds,Internal Migration Out,17.7,17.7,17.7,17.7,17.7,17.7,18.1,18.5,18.9,19.1,19.3,19.3,19.4,19.4,19.5,19.5,19.4,19.4,19.3,19.3,19.3,19.4,19.6,19.8,19.9,20.1,20.3,20.5,20.6,20.8
00DA,Leeds,International Migration In,5.3,5.3,5.3,5.3,5.3,5.3,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1
00DA,Leeds,International Migration Out,2.8,2.8,2.8,2.8,2.8,2.8,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
00DA,Leeds,Cross Border Migration In,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
00DA,Leeds,Cross Border Migration Out,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
