CODE,AREA,AGE GROUP,2004Est,2005Est,2006Est,2007Est,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
00EH,Darlington,70-74,2,2,2,2,2,2,2,2,2.1,2.1,2.1,2.2,2.3,2.5,2.7,2.8,2.8,2.8,2.7,2.7,2.6,2.6,2.6,2.6,2.7,2.7,2.8,2.9,3,3.1
00EH,Darlington,75-79,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.9,2,2,2.2,2.4,2.5,2.5,2.5,2.4,2.4,2.3,2.3,2.3,2.4,2.4
00EH,Darlington,80-84,1,1,1,1,1,1.1,1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.7,1.8,2,2.1,2.1,2.1,2,2
00EH,Darlington,85-89,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,1,1,1,1.1,1.1,1.1,1.2,1.3,1.4,1.5
00EH,Darlington,90+,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1
00DA,Leeds,0-4,22.3,22.3,22.3,22.3,22.3,23.1,23.9,24.5,25,25.4,25.8,26.2,26.6,27,27.4,27.8,28.1,28.3,28.5,28.6,28.7,28.7,28.7,28.6,28.6,28.6,28.5,28.5,28.4,28.5
00DA,Leeds,05-Sep,19.6,19.6,19.6,19.6,19.6,19.7,20.1,20.6,21.3,22,22.7,23.4,24,24.4,24.8,25.1,25.5,25.9,26.2,26.6,26.9,27.2,27.4,27.6,27.7,27.7,27.8,27.7,27.7,27.7
00DA,Leeds,Oct-14,21.6,21.6,21.6,21.6,21.6,21.2,20.7,20.2,19.8,19.6,19.7,20.1,20.6,21.3,22,22.6,23.3,23.9,24.3,24.6,24.9,25.2,25.6,25.9,26.3,26.6,26.8,27,27.2,27.3
00DA,Leeds,15-19,28,28,28,28,28,27.9,27.6,27,26.3,26,25.6,25,24.5,24.1,23.9,23.9,24.2,24.7,25.5,26.2,26.9,27.6,28.2,28.8,29,29.2,29.5,29.8,30.2,30.5
00DA,Leeds,20-24,45.9,45.9,45.9,45.9,45.9,47,48.1,49.2,49.7,49.7,49.4,48.7,47.9,47.1,46.6,46,45.3,44.6,43.9,43.7,43.9,44.4,45.2,46.3,47.4,48.4,49.2,49.7,50.1,50.2
00DA,Leeds,25-29,37.7,37.7,37.7,37.7,37.7,40.2,42,43.6,45.3,46.6,47.5,48.2,49,49.3,49.2,48.9,48.4,47.6,47,46.5,46,45.5,44.8,44.2,44,44.2,44.6,45.3,46.2,47.2
00DA,Leeds,30-34,26.3,26.3,26.3,26.3,26.3,27.6,29.7,31.7,34,36.5,38.6,40.1,41.5,42.9,44,44.7,45.3,45.9,46.2,46,45.8,45.3,44.6,44.1,43.6,43.2,42.7,42.1,41.6,41.4
00DA,Leeds,35-39,25.9,25.9,25.9,25.9,25.9,25.5,25.3,25.4,25.2,25.6,26.6,28.3,30,31.9,34,35.8,37.2,38.4,39.6,40.6,41.2,41.6,42.2,42.4,42.3,42.1,41.6,41,40.5,40.1
00DA,Leeds,40-44,26.4,26.4,26.4,26.4,26.4,26.5,26.2,26.1,26,25.7,25.3,25.1,25,24.8,25,25.8,27.4,28.8,30.5,32.4,34.1,35.3,36.4,37.6,38.5,39.1,39.5,40,40.2,40
00DA,Leeds,45-49,23.7,23.7,23.7,23.7,23.7,24.2,24.9,25.4,25.6,25.8,25.9,25.6,25.5,25.4,25.1,24.7,24.4,24.2,24,24.2,24.9,26.3,27.7,29.3,31,32.6,33.7,34.8,35.9,36.7
00DA,Leeds,50-54,20.8,20.8,20.8,20.8,20.8,21.2,21.7,22.3,22.7,23.1,23.5,24.3,24.7,24.9,25.1,25.2,24.9,24.8,24.7,24.4,24,23.7,23.5,23.3,23.4,24.1,25.4,26.6,28.1,29.8
00DA,Leeds,55-59,19.4,19.4,19.4,19.4,19.4,19.1,18.8,18.8,19.2,19.7,20.1,20.6,21.2,21.6,21.9,22.4,23,23.5,23.7,23.8,23.9,23.7,23.6,23.5,23.2,22.8,22.5,22.3,22,22.2
00DA,Leeds,60-64,18.7,18.7,18.7,18.7,18.7,19.1,19.2,19.3,18.5,17.8,17.6,17.4,17.4,17.7,18.2,18.6,19.1,19.6,20,20.3,20.8,21.4,21.8,22,22.2,22.2,22,22,21.9,21.6
00DA,Leeds,65-69,14,14,14,14,14,14.2,14.5,15,16.1,16.8,17.1,17.3,17.4,16.7,16.1,15.9,15.7,15.8,16.1,16.5,16.9,17.4,17.9,18.2,18.6,19,19.5,19.9,20.1,20.3
00DA,Leeds,70-74,12.6,12.6,12.6,12.6,12.6,12.7,12.6,12.3,12.2,12.3,12.6,12.9,13.3,14.4,15,15.4,15.5,15.6,15,14.6,14.4,14.2,14.3,14.6,15,15.4,15.8,16.2,16.6,16.9
00DA,Leeds,75-79,9.6,9.6,9.6,9.6,9.6,9.7,10,10.3,10.4,10.5,10.7,10.7,10.5,10.4,10.6,10.9,11.2,11.6,12.5,13.1,13.4,13.6,13.7,13.2,12.8,12.7,12.6,12.6,12.9,13.3
00DA,Leeds,80-84,6.3,6.3,6.3,6.3,6.3,6.4,6.4,6.6,6.8,7,7.2,7.5,7.8,8,8.2,8.4,8.4,8.3,8.3,8.5,8.7,9,9.3,10.1,10.6,10.9,11.1,11.1,10.8,10.5
00DA,Leeds,85-89,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.7,3.8,3.9,4,4.2,4.4,4.6,4.8,5,5.3,5.5,5.7,5.9,6,5.9,5.9,6.1,6.3,6.5,6.8,7.4,7.8
00DA,Leeds,90+,1.4,1.4,1.4,1.4,1.4,1.5,1.7,1.9,2,2.1,2.2,2.3,2.5,2.6,2.7,2.9,3,3.2,3.4,3.7,3.9,4.1,4.4,4.7,5,5.2,5.4,5.6,5.8,6.1
